Company Name,Type of Partner,Partner Specs,Address
Orbit Peripherals Pvt Ltd,GOLD Partner,spec602,"Sai Mansion 1st Cross J C RdNo 15 1st Flr Opp. Poornima Theatre
Bangalore, Karnataka 400051
080 32716005
narender@orbitindia.net"
,,spec590,
,,spec588,
,,spec593,
,,spec604,
,,spec599,
,,spec594,
,,spec587,
,,spec589,
,,spec596,
,,spec597,
Skylark Information Technologies Pvt Ltd,GOLD Partner,spec602,"1st & 2nd Floor,IBIS Hotel,26/1 Hosur RoadRegus Business Centre Hosur Road
Bangalore, Karnataka 560068
9840745806
kumar@skylarkinfo.com"
,,spec590,
,,spec588,
,,spec604,
,,spec599,
,,spec587,
,,spec589,
Ashtech Infotech Pvt Ltd,GOLD Partner,spec602,"Sadarang Front Line 299412th A Main Road HAL IInd stage Indira Nagar
Bangalore, Karnataka 560001
080 - 32932062
vijay_gopal@ashinfo.com"
,,spec588,
,,spec604,
,,spec587,
Value Point Systems Pvt Ltd,GOLD Partner,spec602,"Opp Oracle Lexington Towers66 St John s Wood Road Koramangala
Bangalore, Karnataka 560029
080-66266000
shanbhag@valuepoint.co.in"
,,spec590,
,,spec562,
,,spec588,
,,spec593,
,,spec604,
,,spec599,
,,spec589,
,,spec596,
,,spec597,
Value Point Systems Pvt Ltd,GOLD Partner,spec602,"NO 56 OLD NO 31 RAMAIAH LAYOUT
BANGALORE, ###
080-66266000
shanbhag@valuepoint.co.in"
,,spec590,
,,spec562,
,,spec588,
,,spec593,
,,spec604,
,,spec599,
,,spec589,
,,spec596,
,,spec597,
Company Name,Type of Partner,Partner Specs,Address
Orbit Peripherals Pvt Ltd,GOLD Partner,spec602,"Sai Mansion 1st Cross J C RdNo 15 1st Flr Opp. Poornima Theatre
Bangalore, Karnataka 400051
080 32716005
narender@orbitindia.net"
,,spec590,
,,spec588,
,,spec593,
,,spec604,
,,spec599,
,,spec594,
,,spec587,
,,spec589,
,,spec596,
,,spec597,
